rsi_period_1,rsi_period_2,wt_n1,wt_n2,cci_period,adx_period,neighbors_count,max_bars_back,ml_threshold,ema_period,sma_period,adx_threshold,kernel_h,kernel_r,take_profit,stop_loss,max_hold_bars,risk_per_trade,margin_leverage,metric_total_pnl,metric_win_rate,metric_total_trades,metric_avg_daily_pnl,metric_avg_daily_trades,metric_monthly_return_pct,metric_trades_per_day,score
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,15,8,8.0,0.03,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,15,8,8.0,0.03,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,20,8,8.0,0.03,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,20,8,8.0,0.03,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,40,50,25,8,8.0,0.03,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,6,2000,1,50,50,25,8,8.0,0.03,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.01,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.01,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.01,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.01,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.01,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.01,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.015,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.015,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.015,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.015,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,25,8,8.0,0.015,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.012,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.012,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.012,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.012,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.012,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,25,8,8.0,0.015,0.012,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.02,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.02,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.02,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.02,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.02,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,15,8,8.0,0.02,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.02,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.02,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.02,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.02,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.02,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,15,8,8.0,0.02,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.02,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.02,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.02,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.02,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.02,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,40,50,20,8,8.0,0.02,0.008,15,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.02,0.008,10,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.02,0.008,12,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.02,0.008,15,0.015,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.02,0.008,10,0.02,5,0,0,0,0,0,0,0,0.0
14,9,10,11,20,20,8,2000,0,50,50,20,8,8.0,0.02,0.008,12,0.02,5,0,0,0,0,0,0,0,0.0
